科室,原始行,发货单号,包名,包数,原单价,处理后单价,原总价,处理后总价,规则覆盖,匹配规则,说明
美容科,9,1608289,排针-11/Z7526,1.0,60.5,13.5,60.5,13.5,special_rule,校正价13.5,原始按器械数×基础单价(60.5)计费；处理后按标准价(13.5)计费
美容科,10,1608289,排针20/Z1026,3.0,110.0,13.5,330.0,40.5,special_rule,校正价13.5,原始按器械数×基础单价(110)计费；处理后按标准价(13.5)计费
美容科,12,1609061,排针-15/Z1026,3.0,82.5,13.5,247.5,40.5,special_rule,校正价13.5,原始按器械数×基础单价(82.5)计费；处理后按标准价(13.5)计费
美容科,13,1609061,排针20/Z1026,1.0,110.0,13.5,110.0,13.5,special_rule,校正价13.5,原始按器械数×基础单价(110)计费；处理后按标准价(13.5)计费
美容科,15,1609796,排针20/Z1026,2.0,110.0,13.5,220.0,27.0,special_rule,校正价13.5,原始按器械数×基础单价(110)计费；处理后按标准价(13.5)计费
美容科,16,1609796,排针-23/Z1026,1.0,126.5,16.5,126.5,16.5,special_rule,校正价16.5,原始按器械数×基础单价(126.5)计费；处理后按标准价(16.5)计费
美容科,19,1610395,排针-14/Z1026,1.0,77.0,13.5,77.0,13.5,special_rule,校正价13.5,原始按器械数×基础单价(77)计费；处理后按标准价(13.5)计费
美容科,20,1610395,排针20/Z1026,5.0,110.0,13.5,550.0,67.5,special_rule,校正价13.5,原始按器械数×基础单价(110)计费；处理后按标准价(13.5)计费
美容科,22,1611177,排针20/Z1026,4.0,110.0,13.5,440.0,54.0,special_rule,校正价13.5,原始按器械数×基础单价(110)计费；处理后按标准价(13.5)计费
美容科,23,1611177,排针21件/Z1026,1.0,115.5,16.5,115.5,16.5,special_rule,校正价16.5,原始按器械数×基础单价(115.5)计费；处理后按标准价(16.5)计费
美容科,25,1611875,排针-12/Z7526,1.0,66.0,13.5,66.0,13.5,special_rule,校正价13.5,原始按器械数×基础单价(66)计费；处理后按标准价(13.5)计费
美容科,26,1611875,排针20/Z1026,7.0,110.0,13.5,770.0,94.5,special_rule,校正价13.5,原始按器械数×基础单价(110)计费；处理后按标准价(13.5)计费
美容科,30,1612425,排针20/Z1026,3.0,110.0,13.5,330.0,40.5,special_rule,校正价13.5,原始按器械数×基础单价(110)计费；处理后按标准价(13.5)计费
美容科,31,1612425,排针22件/Z1026,1.0,121.0,16.5,121.0,16.5,special_rule,校正价16.5,原始按器械数×基础单价(121)计费；处理后按标准价(16.5)计费
美容科,33,1613182,排针34件/Z1026,2.0,187.0,22.0,374.0,44.0,special_rule,校正价22.0,原始按器械数×基础单价(187)计费；处理后按标准价(22)计费
美容科,37,1614154,排针30件/Z1026,1.0,167.5,16.5,167.5,16.5,special_rule,校正价16.5,原始按器械数×基础单价(167.5)计费；处理后按标准价(16.5)计费
美容科,38,1614154,排针35件/Z1026,1.0,192.5,22.0,192.5,22.0,special_rule,校正价22.0,原始按器械数×基础单价(192.5)计费；处理后按标准价(22)计费
美容科,40,1614899,剪刀-3/z1530,1.0,22.0,16.5,22.0,16.5,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(22)计费；处理后按标准价(16.5)计费
美容科,41,1614899,镊子1止血钳2/z1526,1.0,22.0,16.5,22.0,16.5,default_heuristic,标准计费引擎（启发式）,原始按器械数×基础单价(22)计费；处理后按标准价(16.5)计费
美容科,42,1614899,排针-28/Z1026,1.0,154.0,16.5,154.0,16.5,special_rule,校正价16.5,原始按器械数×基础单价(154)计费；处理后按标准价(16.5)计费
美容科,43,1614899,排针30件/Z1026,2.0,167.5,16.5,335.0,33.0,special_rule,校正价16.5,原始按器械数×基础单价(167.5)计费；处理后按标准价(16.5)计费
美容科,44,1615589,排针21/Z1026,1.0,115.5,16.5,115.5,16.5,special_rule,校正价16.5,原始按器械数×基础单价(115.5)计费；处理后按标准价(16.5)计费
美容科,45,1615589,排针30件/Z1026,2.0,167.5,16.5,335.0,33.0,special_rule,校正价16.5,原始按器械数×基础单价(167.5)计费；处理后按标准价(16.5)计费
美容科,46,1616099,排针-28/Z1026,1.0,154.0,16.5,154.0,16.5,special_rule,校正价16.5,原始按器械数×基础单价(154)计费；处理后按标准价(16.5)计费
美容科,47,1616099,排针30件/Z1026,2.0,167.5,16.5,335.0,33.0,special_rule,校正价16.5,原始按器械数×基础单价(167.5)计费；处理后按标准价(16.5)计费
